State,Initial Reopening Date,Total Executive Orders,Orders Issued by Agencies,Orders Issued by Government,Max Suspension Count,Governor Party,x,y
Alabama,5/7/2020,16,4,12,14,Republican,-9667016.5135,3864357.2304999977
Alaska,4/23/2020,20,0,20,19,Republican,-16809705.9556,9558001.6206
Arizona,4/28/2020,37,0,37,33,Republican,-12430463.5535,4068215.1655
Arkansas,4/30/2020,25,0,25,10,Republican,-10290249.5743,4150289.480899997
California,5/18/2020,46,1,45,56,Democrat,-13277101.270399999,4352220.592500001
Colorado,4/25/2020,48,2,46,41,Democrat,-11749529.173,4721463.9551
Connecticut,3/31/2020,24,0,24,41,Democrat,-8097191.174799999,5097304.783699997
Delaware,5/6/2020,21,0,21,19,Democrat,-8401000.5705,4722835.802000001
Florida,4/28/2020,60,29,31,36,Republican,-9093538.7869,3320528.3671000004
Georgia,4/7/2020,26,0,26,14.5,Republican,-9289003.079,3848717.4228999987
Hawaii,5/4/2020,18,2,16,29,Democrat,-17582204.6805,2444367.181499999
Idaho,5/18/2020,14,2,12,2,Republican,-12763831.2478,5525838.7875000015
Illinois,5/28/2020,43,0,43,31,Democrat,-9925095.6182,4882529.082900003
Indiana,4/30/2020,25,0,25,27.5,Republican,-9604845.3158,4854295.68
Iowa,5/5/2020,12,0,12,30,Republican,-10408369.318,5172175.433600001
Kansas,5/13/2020,28,0,28,20,Democrat,-10951630.4986,4648129.569200002
Kentucky,5/7/2020,26,5,21,9,Democrat,-9494174.4369,4512853.2258
Louisiana,5/14/2020,13,0,13,17.5,Democrat,-10177542.5195,3527461.0737999976
Maine,4/30/2020,40,0,40,20,Democrat,-7703748.147700001,5671288.4243
Maryland,5/14/2020,39,0,39,17.5,Republican,-8477951.0431,4695663.535400003
Massachusetts,5/17/2020,61,36,25,20.5,Republican,-7983631.834799999,5214858.8605
Michigan,5/14/2020,94,0,94,30,Democrat,-9372733.4922,5484837.6325
Minnesota,5/26/2020,50,0,50,16,Democratic-Farmer-Labor,-10486384.04,5836430.932700001
Mississippi,5/7/2020,25,0,25,14,Republican,-9980591.1569,3858723.6827000007
Missouri,5/3/2020,54,45,9,20.5,Republican,-10294575.6631,4631540.652999997
Montana,4/19/2020,30,0,30,18,Democrat,-12205633.107900001,5947543.731399998
Nebraska,4/29/2020,20,0,20,8,Republican,-11110921.6409,5090427.7717999965
Nevada,6/9/2020,20,0,20,9,Democrat,-12986023.778900001,4772863.966300003
New Hampshire,5/17/2020,46,0,46,31.5,Republican,-7967981.621099999,5416904.765699998
New Jersey,4/28/2020,31,0,31,17,Democrat,-8318745.8035,4809913.175300002
New Mexico,5/31/2020,30,1,29,6,Democrat,-11811933.4849,4085517.168200001
New York,6/12/2020,42,0,42,58.5,Democrat,-8416944.7836,5302400.2848000005
North Carolina,5/19/2020,15,0,15,16,Democrat,-8814880.4003,4237419.5964
North Dakota,4/28/2020,37,0,37,18,Republican,-11184201.0423,6015223.904600002
Ohio,6/8/2020,37,17,20,16.5,Republican,-9207370.3574,4926149.377800003
Oklahoma,4/23/2020,24,0,24,25.5,Republican,-10854607.6288,4243350.221900001
Oregon,5/14/2020,22,0,22,3,Democrat,-13420517.611499999,5455973.167199999
Pennsylvania,5/6/2020,21,8,13,6,Democrat,-8664970.1004,4997089.119199999
Rhode Island,5/8/2020,30,0,30,18,Democrat,-7954258.458000001,5084696.166500002
South Carolina,4/19/2020,18,0,18,20.5,Republican,-9005051.3196,4015900.524099998
South Dakota,4/27/2020,17,0,17,19,Republican,-11157612.3122,5533183.9318
Tennessee,4/23/2020,17,0,17,32,Republican,-9611664.4906,4279040.233199999
Texas,4/26/2020,27,1,26,14,Republican,-11057704.555,3692990.7787000015
Utah,4/30/2020,23,0,23,9,Republican,-12431965.7436,4768149.082800001
Vermont,5/5/2020,20,0,20,10,Republican,-8088773.5173,5477088.041000001
Virginia,6/1/2020,19,0,19,9,Democrat,-8760615.5772,4510830.458499998
Washington,5/3/2020,43,0,43,21,Democrat,-13420261.8299,6009461.097900003
West Virginia,4/3/2020,21,0,21,15,Republican,-8973866.7555,4670579.248300001
Wisconsin,4/26/2020,34,12,22,23,Democrat,-9989720.4256,5565780.000299998
Wyoming,4/30/2020,12,6,6,6,Republican,-11972590.4768,5311911.623499997
