State,Date,Official,Official_Name,Emergency_Declaration,Health_Declaration,Stayhome_Restrictions,Natguard_Restrictions,Travel_Restrictions,Gatheringban_rawlimit,Election_delay,Election_change,Public_meetings,x,y
Alabama,3/6/2020 0:00:00,Governor,Kay Ivey,0,0,0,0,0,0,0,0,0,-9667016.5135,3864357.2304999977
Alabama,3/13/2020 0:00:00,Governor,Kay Ivey,1,1,0,0,0,0,0,0,0,-9667016.5135,3864357.2304999977
Alabama,3/17/2020 0:00:00,State Health Officer,Scott Harris,0,0,0,0,0,25,0,0,0,-9667016.5135,3864357.2304999977
Alabama,3/18/2020 0:00:00,Governor,Kay Ivey,0,0,0,0,0,0,1,0,0,-9667016.5135,3864357.2304999977
Alabama,3/20/2020 0:00:00,State Health Officer,Scott Harris,0,0,0,0,0,25,0,0,0,-9667016.5135,3864357.2304999977
Alabama,3/20/2020 1:00:00,Governor,Kay Ivey,0,0,0,0,0,0,0,0,0,-9667016.5135,3864357.2304999977
Alabama,3/23/2020 0:00:00,Governor,Kay Ivey,0,0,0,0,0,0,0,0,0,-9667016.5135,3864357.2304999977
Alabama,3/26/2020 0:00:00,Governor,Kay Ivey,0,0,0,0,0,0,0,0,0,-9667016.5135,3864357.2304999977
Alabama,3/31/2020 0:00:00,Governor,Kay Ivey,0,0,0,0,0,0,0,0,0,-9667016.5135,3864357.2304999977
Alabama,4/3/2020 0:00:00,Governor,Kay Ivey,0,0,0,0,0,0,0,0,0,-9667016.5135,3864357.2304999977
Alabama,4/3/2020 1:00:00,State Health Officer,Scott Harris,0,0,1,0,0,10,0,0,0,-9667016.5135,3864357.2304999977
Alabama,4/13/2020 0:00:00,Governor,Kay Ivey,0,0,0,0,0,0,0,0,0,-9667016.5135,3864357.2304999977
Alabama,4/28/2020 0:00:00,State Health Officer,Scott Harris,0,0,0,0,0,10,0,0,0,-9667016.5135,3864357.2304999977
Alabama,5/8/2020 0:00:00,Governor,Kay Ivey,0,0,0,0,0,0,1,0,0,-9667016.5135,3864357.2304999977
Alabama,5/8/2020 1:00:00,Governor,Kay Ivey,0,0,0,0,0,0,0,0,0,-9667016.5135,3864357.2304999977
Alabama,5/8/2020 2:00:00,Governor,Kay Ivey,0,0,0,0,0,0,0,0,0,-9667016.5135,3864357.2304999977
Alaska,3/11/2020 0:00:00,Governor,Mike Dunleavy,1,1,0,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,3/11/2020 1:00:00,Governor,Mike Dunleavy,0,1,0,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,3/13/2020 0:00:00,Governor,Mike Dunleavy,0,0,0,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,3/16/2020 0:00:00,Governor,Mike Dunleavy,0,0,0,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,3/17/2020 0:00:00,Governor,Mike Dunleavy,0,0,0,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,3/17/2020 1:00:00,Governor,Mike Dunleavy,0,0,0,0,contains travel guidance w/o enforcement mechanism,0,0,0,0,-16809705.9556,9558001.6206
Alaska,3/17/2020 2:00:00,Governor,Mike Dunleavy,0,0,0,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,3/19/2020 0:00:00,Governor,Mike Dunleavy,0,0,0,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,3/19/2020 1:00:00,Governor,Mike Dunleavy,0,0,0,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,3/20/2020 0:00:00,Governor,Mike Dunleavy,0,0,0,0,0,10,0,0,0,-16809705.9556,9558001.6206
Alaska,3/20/2020 1:00:00,Governor,Mike Dunleavy,0,0,0,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,3/20/2020 2:00:00,Governor,Mike Dunleavy,0,0,0,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,3/23/2020 0:00:00,Governor,Mike Dunleavy,0,0,0,0,0,10,0,0,0,-16809705.9556,9558001.6206
Alaska,3/23/2020 1:00:00,Governor,Mike Dunleavy,0,0,0,0,travel restrictions w/ penalties,0,0,0,0,-16809705.9556,9558001.6206
Alaska,3/27/2020 0:00:00,Governor,Mike Dunleavy,0,0,1,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,3/28/2020 0:00:00,Governor,Mike Dunleavy,0,0,0,0,travel forbidden w/o specific essential duties required,0,0,0,0,-16809705.9556,9558001.6206
Alaska,4/7/2020 0:00:00,Governor,Mike Dunleavy,0,0,0,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,4/9/2020 0:00:00,Governor,Mike Dunleavy,0,0,0,0,"suspends imposition of fees and rents from concessionaires at airports, cancellation fees for any AMHS travel",0,0,0,0,-16809705.9556,9558001.6206
Alaska,4/9/2020 0:00:00,Governor,Mike Dunleavy,0,0,0,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,4/14/2020 0:00:00,Governor,Mike Dunleavy,0,0,0,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,4/21/2020 0:00:00,Governor,Mike Dunleavy,0,0,0,0,0,0,0,0,0,-16809705.9556,9558001.6206
Alaska,4/22/2020 0:00:00,Governor,Mike Dunleavy,0,0,0,0,0,1,0,0,0,-16809705.9556,9558001.6206
Arizona,3/24/2020 2:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/24/2020 3:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/26/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/26/2020 1:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/26/2020 2:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/26/2020 3:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/28/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/30/2020 0:00:00,Governor,Douglas Ducey,0,0,1,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/1/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/2/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/6/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/7/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/7/2020 1:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/7/2020 2:00:00,Governor,Douglas Ducey,0,0,0,0,anyone traveling from NY tri-state area must self quarantine for 14 days,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/7/2020 3:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/8/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/8/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
