fips,population,population_per_sqmile
01001,55200,91.48681327010671
01003,208107,123.6362936786265
01005,25782,28.32388740221663
01007,22527,36.015479038617656
01009,57645,88.67343959826744
01011,10352,16.574053926014468
01013,20025,25.719889208665194
01015,115098,188.13147225099095
01017,33826,56.055851620921935
01019,25853,43.07646127346896
01021,43930,62.68882801540946
01023,13075,14.140009659494941
01025,24387,19.43185470656156
01027,13378,22.06442923211709
01029,14938,26.697037293909446
01031,51288,75.41016088252941
01033,54495,87.58150383755235
01035,12514,14.679195325150417
01037,10855,16.288997790463384
01039,37351,35.76868700416821
01041,13865,22.69171065236079
01043,82313,108.75740402003028
01045,49255,87.44781551779072
01047,40029,40.27967611011598
01049,71200,91.4471650382799
01051,81212,123.87666687309442
01053,37328,39.144226099415896
01055,102939,187.3969603261696
01057,16585,26.285487009256325
01059,31542,48.656952775408655
01061,26491,45.910560286087595
01063,8426,12.75347893209092
01065,14887,22.646758185906826
01067,17124,30.15691644855255
01069,104352,178.7362458343567
01071,52094,46.26962995179875
01073,659892,587.1603491206408
01075,13933,22.994901018990173
01077,92585,128.66635086349686
01079,33171,46.42650303256655
01081,159287,258.86798970756064
01083,93052,153.40270496083187
01085,10236,14.12805472443425
01087,19054,31.04968944407433
01089,357560,438.6612618676484
01091,19538,19.87484117673405
01093,29965,40.15759785205154
01095,95145,152.65267544062186
01097,414659,321.3987064763022
01099,21512,20.774572252912087
01101,226941,282.7096857308222
01103,119122,199.11376329947916
01105,9486,13.103054871614965
01107,20298,22.83509241622479
01109,33403,49.51996245163405
01111,22574,38.59741517142069
01113,58213,89.66516040944643
01115,87306,133.30249879591392
01117,211261,260.7531898979322
01119,12985,14.246216707236494
01121,80565,106.01687590082362
01123,40636,52.95622860173221
01125,206213,152.32861512068263
01127,64493,80.17865298095772
01129,16643,15.283177439126657
01131,10809,11.90681998345727
01133,23875,37.59678573302977
02013,3425,1.9640590406526501
02016,5750,4.777585596414882
02020,296112,772.1972726742991
02050,18040,1.854495663943642
02060,890,7.315093851106728
02068,2232,0.7937675326486232
02070,4975,1.1279586820785874
02090,99653,61.58152626662227
02100,2518,4.991985026520786
02105,2132,1.4405170449680236
02110,32330,53.95970936390314
02122,58220,15.68667459354951
02130,13804,12.65797702772146
02150,13649,8.508303014018662
02158,8198,1.9556528358776823
02164,1375,0.22921498440920274
02170,103464,18.781877051634993
02180,9925,1.8229701663022315
02185,9797,0.49449344432779613
02188,7734,0.9365624601946149
02195,3255,5.032434140075711
02198,6474,5.009426328779584
02220,8738,12.473019344574286
02230,1061,10.848886154909906
02240,6876,1.2730871580892071
02261,9301,1.2037363917952806
02275,2484,4.3079169804480335
02282,689,0.4024814052154644
02290,5415,0.16606548998025347
04001,71522,5.683948715000926
04003,126279,17.869726690056364
04005,140217,6.5489497723407855
04007,53400,9.749211311449123
04009,37879,7.18212995204759
04011,9504,4.566549013936419
04012,20701,3.8689410756579306
04013,4253913,395.5076716897103
04015,206064,13.049035853939175
04017,108705,9.655697546273098
04019,1019722,95.41237886251783
04021,419721,67.73340512646466
04023,46584,32.67097595043252
04025,224645,23.79340070685314
04027,207829,31.6535161208952
05001,18124,17.42409243594404
05003,20537,21.61700884020599
05005,41219,69.578024451193
05007,258980,288.8830590208019
05009,37288,61.04242154085834
05011,10948,16.595203966896708
05013,5202,8.152453952830344
05015,27887,43.18567198224985
05017,10826,15.593885314764318
05019,22385,25.06077344631834
05021,15061,23.371958199181233
05023,25230,42.16954523176161
05025,8226,13.632922178412114
05027,23892,30.777882558001725
05029,20906,36.59108004361739
05031,105701,147.7390563587824
05033,62472,102.00319387748392
05035,49013,76.42898905216025
05037,16998,27.12935222166886
05039,7432,11.002514285810626
05041,11887,14.411292575740141
05043,18502,21.97593194644251
05045,122416,182.82262685100284
05047,17780,28.331596696734668
05049,12139,19.44850497635388
05051,98296,132.32827669552273
05053,18086,28.3275575201236
05055,44623,76.7407977691841
05057,22018,29.297032429136088
05059,33520,53.249040764308994
05061,13389,22.169150321280345
05063,37264,47.92414093509187
05065,13559,23.012778256095476
05067,17225,26.666677031928405
05069,70424,76.3857486082389
05071,26291,37.946645028151295
05073,6915,12.556532234794044
05075,16669,27.875658384285718
05077,9398,15.098580465628432
05079,13695,23.76253013938849
05081,12417,21.818805571360766
05083,21757,29.374671420545766
05085,72206,88.7897590457685
05087,16076,18.95231281686168
05089,16438,25.521950962514477
05091,43759,67.47495438364612
05093,42831,46.41899367249729
05095,7249,11.601880568709426
05097,8993,11.080068333700389
05099,8440,13.453123239368741
05101,7848,9.436542396163425
05103,24106,32.18615024300617
05105,10322,18.197941495711586
05107,19034,25.95719228632872
05109,10808,17.376068850983714
05111,24054,31.355479301703628
05113,20163,23.019253907657248
05115,63644,75.7303117205592
05117,8244,12.186297759739455
05119,393463,482.80740480655595
05121,17603,26.680364997304498
05123,26294,40.853092581634144
05125,118009,159.9754927835595
05127,10442,11.455950597816072
05129,7923,11.72253209278864
05131,127461,229.6621722733485
05133,17193,29.14026381627578
05135,17043,28.012552550386044
05137,12446,20.283999500815117
05139,39732,37.291175611292005
05141,16684,22.868090459877777
05143,228529,236.42044662919326
05145,78804,74.95741191704015
05147,6660,11.15545927257041
05149,21573,22.454306204185848
06001,1643700,1707.1732358059269
06003,1146,1.2442494048940387
06005,37829,49.85164489633104
06007,227075,107.75150561867002
06009,45235,34.76315504114721
06011,21464,14.561854606781703
06013,1133247,1165.6821014878456
06015,27424,21.2760016091826
06017,186661,83.65416153743985
06019,978130,129.88262730774053
06021,27897,16.585659099541648
06023,135768,29.310182340899647
06025,180216,33.27582056930345
06027,18085,1.4516534648687753
06029,883053,86.70392300693287
06031,150075,85.62243116752472
06033,64148,37.63910752589448
06035,31185,5.3527163724271
06037,10098052,1975.4161543148844
06039,155013,57.62849540889536
06041,260295,370.446359175838
06043,17540,9.596627397288678
06045,87422,19.305483323627865
06047,269075,107.46277610992347
06049,8938,1.7331620358441484
06051,14174,3.6848724846627565
06053,433212,101.88074232924443
06055,140530,139.12197033201403
06057,99092,81.49677529162791
06059,3164182,3179.720312077078
06061,380077,202.53453819078246
06063,18699,5.757299687606405
06065,2383286,268.4522331669465
06067,1510023,1199.449128902759
06069,59416,33.50796342380448
06071,2135413,87.62671052675658
06073,3302833,630.1480501219235
06075,870044,13971.639035666441
06077,732212,404.16653271801795
06079,281455,66.36549184160432
06081,765935,1296.9007386175297
06083,443738,126.35969628566023
06085,1922200,1151.4269268873138
06087,273765,476.1930396689795
06089,179085,37.13658946189306
06091,2930,2.456390264825329
06093,43540,5.475983785817184
06095,438530,386.45373434923647
06097,501317,244.7638912791907
06099,539301,281.7283380410856
06101,95872,124.2509136419348
06103,63373,16.930072665358566
06105,12862,3.1563214954216914
06107,460477,76.67339206216742
06109,53932,19.023463779085727
06111,848112,360.3948320620195
06113,214977,165.53996178270154
06115,75493,93.5715792219467
08001,497115,394.66822325362045
08003,16444,21.09747323172804
08005,636671,746.7394112157605
08007,12908,8.717318675800367
08009,3563,1.3187287562427734
08011,5809,3.5561406014625856
08013,321030,404.5116938938386
08014,66120,1844.7385519655033
08015,19164,17.442925039477306
08017,2039,1.0895867241218362
08019,9379,22.090976683054162
08021,8142,5.810899051693704
08023,3687,2.7796036183161297
08025,5630,6.611050118647849
08027,4640,5.816889247912839
08029,30346,24.162277374221716
08031,693417,4178.180646475362
08033,1841,1.5662477870922384
08035,328614,363.71680325269864
08037,54357,29.690144367677842
08039,25162,12.783663378907203
08041,688153,303.36647108106973
08043,47002,28.51197271996695
08045,58538,18.12467793982353
08047,5924,36.65666451477988
08049,15066,7.470248489592513
08051,16537,4.661484522358507
08053,878,0.7155294302176257
08055,6583,3.8533323299185
08057,1296,0.7419660500909591
08059,570427,687.83745865831645
08061,1449,0.7660670460418167
08063,7635,3.34884344570713
08065,7585,18.31573290674752
08067,55101,29.49051234520212
08069,338161,119.96259097509193
