fips,month,rent,rent_yoy,rent_index
01003,2018-01-01,1260,-1100,95.96344249809596
01003,2018-02-01,1245,-1305,94.82102056359481
01003,2018-03-01,1265,-1169,96.34424980959635
01003,2018-04-01,1268,-1434,96.57273419649657
01003,2018-05-01,1272,-1444,96.87738004569688
01003,2018-06-01,1276,-1534,97.18202589489718
01003,2018-07-01,1288,-1378,98.09596344249809
01003,2018-08-01,1297,-1339,98.78141660319878
01003,2018-09-01,1296,-1334,98.7052551408987
01003,2018-10-01,1293,-1319,98.47677075399848
01003,2018-11-01,1283,-1325,97.71515613099771
01003,2018-12-01,1290,-1262,98.24828636709825
01003,2019-01-01,1285,-1235,97.86747905559787
01003,2019-02-01,1298,-1192,98.85757806549886
01003,2019-03-01,1298,-1232,98.85757806549886
01003,2019-04-01,1304,-1232,99.31454683929931
01003,2019-05-01,1307,-1237,99.54303122619955
01003,2019-06-01,1324,-1228,100.83777608530085
01003,2019-07-01,1339,-1237,101.98019801980197
01003,2019-08-01,1345,-1249,102.43716679360244
01003,2019-09-01,1329,-1263,101.21858339680121
01003,2019-10-01,1321,-1265,100.60929169840061
01003,2019-11-01,1309,-1257,99.6953541507997
01003,2019-12-01,1313,-1267,100
01003,2020-01-01,1306,-1264,99.46686976389947
01003,2020-02-01,1313,-1283,100
01003,2020-03-01,1305,-1291,99.39070830159939
01003,2020-04-01,1314,-1294,100.07616146230008
01003,2020-05-01,1313,-1301,100
01003,2020-06-01,1317,-1331,100.30464584920031
01003,2020-07-01,1324,-1354,100.83777608530085
01003,2020-08-01,1344,-1346,102.36100533130237
01003,2020-09-01,1365,-1293,103.96039603960396
01003,2020-10-01,1379,-1263,105.02665651180503
01003,2020-11-01,1386,-1232,105.55978674790556
01003,2020-12-01,1390,-1236,105.86443259710587
01003,2021-01-01,1391,-1221,105.94059405940595
01003,2021-02-01,1399,-1227,106.54988575780655
01003,2021-03-01,1407,-1203,107.15917745620716
01073,2018-01-01,938,-906,92.41379310344827
01073,2018-02-01,939,-929,92.51231527093596
01073,2018-03-01,946,-912,93.20197044334975
01073,2018-04-01,959,-915,94.48275862068965
01073,2018-05-01,964,-926,94.97536945812809
01073,2018-06-01,973,-939,95.86206896551724
01073,2018-07-01,978,-948,96.35467980295567
01073,2018-08-01,985,-935,97.04433497536947
01073,2018-09-01,985,-931,97.04433497536947
01073,2018-10-01,981,-931,96.65024630541872
01073,2018-11-01,975,-929,96.05911330049261
01073,2018-12-01,975,-913,96.05911330049261
01073,2019-01-01,980,-896,96.55172413793103
01073,2019-02-01,987,-891,97.24137931034483
01073,2019-03-01,992,-900,97.73399014778326
01073,2019-04-01,994,-924,97.93103448275862
01073,2019-05-01,996,-932,98.12807881773399
01073,2019-06-01,1005,-941,99.01477832512316
01073,2019-07-01,1016,-940,100.09852216748769
01073,2019-08-01,1024,-946,100.88669950738915
01073,2019-09-01,1024,-946,100.88669950738915
01073,2019-10-01,1020,-942,100.49261083743843
01073,2019-11-01,1017,-933,100.19704433497536
01073,2019-12-01,1013,-937,99.80295566502463
01073,2020-01-01,1015,-945,100
01073,2020-02-01,1015,-959,100
01073,2020-03-01,1015,-969,100
01073,2020-04-01,1007,-981,99.21182266009852
01073,2020-05-01,1005,-987,99.01477832512316
01073,2020-06-01,1007,-1003,99.21182266009852
01073,2020-07-01,1017,-1015,100.19704433497536
01073,2020-08-01,1030,-1018,101.47783251231527
01073,2020-09-01,1039,-1009,102.36453201970444
01073,2020-10-01,1043,-997,102.75862068965517
01073,2020-11-01,1041,-993,102.5615763546798
01073,2020-12-01,1039,-987,102.36453201970444
01073,2021-01-01,1036,-994,102.06896551724138
01073,2021-02-01,1037,-993,102.16748768472908
01073,2021-03-01,1039,-991,102.36453201970444
01089,2018-01-01,869,-881,85.19607843137254
01089,2018-02-01,865,-851,84.80392156862744
01089,2018-03-01,861,-839,84.41176470588235
01089,2018-04-01,865,-807,84.80392156862744
01089,2018-05-01,872,-796,85.49019607843137
01089,2018-06-01,894,-802,87.6470588235294
01089,2018-07-01,909,-825,89.11764705882354
01089,2018-08-01,922,-848,90.3921568627451
01089,2018-09-01,925,-869,90.68627450980392
01089,2018-10-01,921,-871,90.29411764705883
01089,2018-11-01,923,-857,90.49019607843137
01089,2018-12-01,923,-821,90.49019607843137
01089,2019-01-01,925,-813,90.68627450980392
