fips,month,avg_temp,min_temp,max_temp
01001,2019-12-01,50.7,39.6,61.8
01003,2019-12-01,54.9,45.3,64.5
01005,2019-12-01,51.7,41,62.4
01007,2019-12-01,49,38.2,59.8
01009,2019-12-01,46.9,37.4,56.4
01011,2019-12-01,50.7,40.2,61.1
01013,2019-12-01,52.2,41.4,62.9
01015,2019-12-01,48,38.1,57.9
01017,2019-12-01,47.7,36.4,58.9
01019,2019-12-01,46.9,37.9,55.9
01021,2019-12-01,49.2,37.9,60.4
01023,2019-12-01,51.1,40.7,61.4
01025,2019-12-01,52.1,41.6,62.5
01027,2019-12-01,47.3,36.5,58.1
01029,2019-12-01,47.2,37.3,57.1
01031,2019-12-01,53.6,41.6,65.4
01033,2019-12-01,46.1,36.9,55.3
01035,2019-12-01,53.4,43,63.8
01037,2019-12-01,48.5,37.2,59.8
01039,2019-12-01,53.4,41.8,64.8
01041,2019-12-01,51.6,40.4,62.8
01043,2019-12-01,46.2,36.8,55.5
01045,2019-12-01,53.8,42.5,65.2
01047,2019-12-01,51.1,40.3,61.9
01049,2019-12-01,45,36.8,53.2
01051,2019-12-01,50,39,60.9
01053,2019-12-01,53.6,43.2,64
01055,2019-12-01,47.3,38,56.6
01057,2019-12-01,48,37.9,58.1
01059,2019-12-01,45.9,36.8,55
01061,2019-12-01,54.8,43,66.6
01063,2019-12-01,49.6,39.8,59.4
01065,2019-12-01,49.8,39.9,59.6
01067,2019-12-01,53.5,42.8,64.2
01069,2019-12-01,55.6,44.4,66.7
01071,2019-12-01,44.6,36.4,52.9
01073,2019-12-01,48.6,38.2,59
01075,2019-12-01,47.8,37.8,57.8
01077,2019-12-01,45.6,36.2,54.9
01079,2019-12-01,45.5,36.2,54.8
01081,2019-12-01,48.9,38,59.8
01083,2019-12-01,45.5,36.5,54.4
01085,2019-12-01,51.6,40.7,62.6
01087,2019-12-01,49.8,39.2,60.4
01089,2019-12-01,45.3,36.7,53.9
01091,2019-12-01,50.8,40.4,61.2
01093,2019-12-01,46.6,36.9,56.3
01095,2019-12-01,45.9,37.1,54.7
01097,2019-12-01,54.5,44.8,64.2
01099,2019-12-01,53.3,43.1,63.4
01101,2019-12-01,51.3,40.6,62
01103,2019-12-01,45.8,36.8,54.7
01105,2019-12-01,49.8,39.3,60.3
01107,2019-12-01,49,39,58.9
01109,2019-12-01,51.6,41,62.2
01111,2019-12-01,47.2,36.9,57.5
01113,2019-12-01,50.7,39.8,61.5
01115,2019-12-01,47.8,37.9,57.8
01117,2019-12-01,48.5,37.7,59.4
01119,2019-12-01,50.2,40.1,60.2
01121,2019-12-01,48.1,37.3,58.9
01123,2019-12-01,47.9,36.4,59.4
01125,2019-12-01,49.3,39.3,59.4
