initial_reopening_date,total_executive_orders,governor_party,state_code
5/7/2020,16,Republican,01
4/23/2020,20,Republican,02
4/28/2020,37,Republican,04
4/30/2020,25,Republican,05
5/18/2020,46,Democrat,06
4/25/2020,48,Democrat,08
3/31/2020,24,Democrat,09
5/6/2020,21,Democrat,10
4/28/2020,60,Republican,12
4/7/2020,26,Republican,13
5/4/2020,18,Democrat,15
5/18/2020,14,Republican,16
5/28/2020,43,Democrat,17
4/30/2020,25,Republican,18
5/5/2020,12,Republican,19
5/13/2020,28,Democrat,20
5/7/2020,26,Democrat,21
5/14/2020,13,Democrat,22
4/30/2020,40,Democrat,23
5/14/2020,39,Republican,24
5/17/2020,61,Republican,25
5/14/2020,94,Democrat,26
5/26/2020,50,Democratic-Farmer-Labor,27
5/7/2020,25,Republican,28
5/3/2020,54,Republican,29
4/19/2020,30,Democrat,30
4/29/2020,20,Republican,31
6/9/2020,20,Democrat,32
5/17/2020,46,Republican,33
4/28/2020,31,Democrat,34
5/31/2020,30,Democrat,35
6/12/2020,42,Democrat,36
5/19/2020,15,Democrat,37
4/28/2020,37,Republican,38
6/8/2020,37,Republican,39
4/23/2020,24,Republican,40
5/14/2020,22,Democrat,41
5/6/2020,21,Democrat,42
5/8/2020,30,Democrat,44
4/19/2020,18,Republican,45
4/27/2020,17,Republican,46
4/23/2020,17,Republican,47
4/26/2020,27,Republican,48
4/30/2020,23,Republican,49
5/5/2020,20,Republican,50
6/1/2020,19,Democrat,51
5/3/2020,43,Democrat,53
4/3/2020,21,Republican,54
4/26/2020,34,Democrat,55
4/30/2020,12,Republican,56
